Time,StepCount,l1,l2,m1,m2,q1,q2,ref1,ref2,Kp1,Kd1,Ki1,Kp2,Kd2,Ki2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,1,0,0,0,0,0.047257,-0.047257,0,0,0,0,0,0,0,0
0.02,2,0,0,0,0,0.116917,-0.116851,0,0,0,0,0,0,0,0
0.03,3,0,0,0,0,0.195953,-0.195449,0,0,0,0,0,0,0,0
0.04,4,0,0,0,0,0.277603,-0.276002,0,0,0,0,0,0,0,0
0.05,5,0,0,0,0,0.358394,-0.354951,0,0,0,0,0,0,0,0
0.06,6,0,0,0,0,0.436573,-0.43065,0,0,0,0,0,0,0,0
0.07,7,0,0,0,0,0.511301,-0.502458,0,0,0,0,0,0,0,0
0.08,8,0,0,0,0,0.582225,-0.570243,0,0,0,0,0,0,0,0
0.09,9,0,0,0,0,0.649252,-0.634106,0,0,0,0,0,0,0,0
0.1,10,0,0,0,0,0.712429,-0.694245,0,0,0,0,0,0,0,0
0.11,11,0,0,0,0,0.771878,-0.750889,0,0,0,0,0,0,0,0
0.12,12,0,0,0,0,0.827758,-0.804266,0,0,0,0,0,0,0,0
0.13,13,0,0,0,0,0.880245,-0.854593,0,0,0,0,0,0,0,0
0.14,14,0,0,0,0,0.929522,-0.902067,0,0,0,0,0,0,0,0
0.15,15,0,0,0,0,0.975771,-0.94687,0,0,0,0,0,0,0,0
0.16,16,0,0,0,0,1.01917,-0.989168,0,0,0,0,0,0,0,0
0.17,17,0,0,0,0,1.05989,-1.02911,0,0,0,0,0,0,0,0
0.18,18,0,0,0,0,1.09809,-1.06684,0,0,0,0,0,0,0,0
0.19,19,0,0,0,0,1.13394,-1.10248,0,0,0,0,0,0,0,0
0.2,20,0,0,0,0,1.16757,-1.13614,0,0,0,0,0,0,0,0
0.21,21,0,0,0,0,1.19912,-1.16795,0,0,0,0,0,0,0,0
0.22,22,0,0,0,0,1.22873,-1.198,0,0,0,0,0,0,0,0
0.23,23,0,0,0,0,1.25652,-1.22638,0,0,0,0,0,0,0,0
0.24,24,0,0,0,0,1.2826,-1.25319,0,0,0,0,0,0,0,0
0.25,25,0,0,0,0,1.30707,-1.27851,0,0,0,0,0,0,0,0
0.26,26,0,0,0,0,1.33005,-1.30241,0,0,0,0,0,0,0,0
0.27,27,0,0,0,0,1.35162,-1.32498,0,0,0,0,0,0,0,0
0.28,28,0,0,0,0,1.37188,-1.34628,0,0,0,0,0,0,0,0
0.29,29,0,0,0,0,1.3909,-1.36638,0,0,0,0,0,0,0,0
0.3,30,0,0,0,0,1.40875,-1.38534,0,0,0,0,0,0,0,0
0.31,31,0,0,0,0,1.42552,-1.40323,0,0,0,0,0,0,0,0
0.32,32,0,0,0,0,1.44127,-1.42009,0,0,0,0,0,0,0,0
0.33,33,0,0,0,0,1.45606,-1.43598,0,0,0,0,0,0,0,0
0.34,34,0,0,0,0,1.46996,-1.45096,0,0,0,0,0,0,0,0
0.35,35,0,0,0,0,1.483,-1.46506,0,0,0,0,0,0,0,0
0.36,36,0,0,0,0,1.49525,-1.47835,0,0,0,0,0,0,0,0
0.37,37,0,0,0,0,1.50676,-1.49086,0,0,0,0,0,0,0,0
0.38,38,0,0,0,0,1.51756,-1.50263,0,0,0,0,0,0,0,0
0.39,39,0,0,0,0,1.52771,-1.5137,0,0,0,0,0,0,0,0
0.4,40,0,0,0,0,1.53723,-1.52412,0,0,0,0,0,0,0,0
0.41,41,0,0,0,0,1.54618,-1.53391,0,0,0,0,0,0,0,0
0.42,42,0,0,0,0,1.55457,-1.54312,0,0,0,0,0,0,0,0
0.43,43,0,0,0,0,1.56245,-1.55176,0,0,0,0,0,0,0,0
0.44,44,0,0,0,0,1.56984,-1.55989,0,0,0,0,0,0,0,0
0.45,45,0,0,0,0,1.57678,-1.56751,0,0,0,0,0,0,0,0
0.46,46,0,0,0,0,1.58329,-1.57467,0,0,0,0,0,0,0,0
0.47,47,0,0,0,0,1.58939,-1.58138,0,0,0,0,0,0,0,0
0.48,48,0,0,0,0,1.59511,-1.58768,0,0,0,0,0,0,0,0
0.49,49,0,0,0,0,1.60048,-1.59358,0,0,0,0,0,0,0,0
0.5,50,0,0,0,0,1.6055,-1.59911,0,0,0,0,0,0,0,0
0.51,51,0,0,0,0,1.61021,-1.60429,0,0,0,0,0,0,0,0
0.52,52,0,0,0,0,1.61463,-1.60914,0,0,0,0,0,0,0,0
0.53,53,0,0,0,0,1.61876,-1.61368,0,0,0,0,0,0,0,0
0.54,54,0,0,0,0,1.62262,-1.61792,0,0,0,0,0,0,0,0
0.55,55,0,0,0,0,1.62624,-1.62189,0,0,0,0,0,0,0,0
0.56,56,0,0,0,0,1.62962,-1.6256,0,0,0,0,0,0,0,0
0.57,57,0,0,0,0,1.63278,-1.62906,0,0,0,0,0,0,0,0
0.58,58,0,0,0,0,1.63573,-1.63229,0,0,0,0,0,0,0,0
0.59,59,0,0,0,0,1.63848,-1.63531,0,0,0,0,0,0,0,0
0.6,60,0,0,0,0,1.64105,-1.63812,0,0,0,0,0,0,0,0
0.61,61,0,0,0,0,1.64345,-1.64074,0,0,0,0,0,0,0,0
0.62,62,0,0,0,0,1.64569,-1.64317,0,0,0,0,0,0,0,0
0.63,63,0,0,0,0,1.64777,-1.64544,0,0,0,0,0,0,0,0
0.64,64,0,0,0,0,1.6497,-1.64755,0,0,0,0,0,0,0,0
0.65,65,0,0,0,0,1.6515,-1.6495,0,0,0,0,0,0,0,0
0.66,66,0,0,0,0,1.65317,-1.65132,0,0,0,0,0,0,0,0
0.67,67,0,0,0,0,1.65472,-1.653,0,0,0,0,0,0,0,0
0.68,68,0,0,0,0,1.65616,-1.65456,0,0,0,0,0,0,0,0
0.69,69,0,0,0,0,1.65749,-1.656,0,0,0,0,0,0,0,0
0.7,70,0,0,0,0,1.65872,-1.65733,0,0,0,0,0,0,0,0
0.71,71,0,0,0,0,1.65985,-1.65856,0,0,0,0,0,0,0,0
0.72,72,0,0,0,0,1.66089,-1.65969,0,0,0,0,0,0,0,0
0.73,73,0,0,0,0,1.66185,-1.66072,0,0,0,0,0,0,0,0
0.74,74,0,0,0,0,1.66274,-1.66168,0,0,0,0,0,0,0,0
0.75,75,0,0,0,0,1.66354,-1.66255,0,0,0,0,0,0,0,0
0.76,76,0,0,0,0,1.66428,-1.66334,0,0,0,0,0,0,0,0
0.77,77,0,0,0,0,1.66495,-1.66407,0,0,0,0,0,0,0,0
0.78,78,0,0,0,0,1.66556,-1.66473,0,0,0,0,0,0,0,0
0.79,79,0,0,0,0,1.66612,-1.66532,0,0,0,0,0,0,0,0
0.8,80,0,0,0,0,1.66661,-1.66586,0,0,0,0,0,0,0,0
0.81,81,0,0,0,0,1.66706,-1.66634,0,0,0,0,0,0,0,0
0.82,82,0,0,0,0,1.66746,-1.66677,0,0,0,0,0,0,0,0
0.83,83,0,0,0,0,1.66781,-1.66715,0,0,0,0,0,0,0,0
0.84,84,0,0,0,0,1.66812,-1.66749,0,0,0,0,0,0,0,0
0.85,85,0,0,0,0,1.66839,-1.66778,0,0,0,0,0,0,0,0
0.86,86,0,0,0,0,1.66862,-1.66804,0,0,0,0,0,0,0,0
0.87,87,0,0,0,0,1.66882,-1.66825,0,0,0,0,0,0,0,0
0.88,88,0,0,0,0,1.66898,-1.66844,0,0,0,0,0,0,0,0
0.89,89,0,0,0,0,1.66911,-1.66858,0,0,0,0,0,0,0,0
0.9,90,0,0,0,0,1.66921,-1.6687,0,0,0,0,0,0,0,0
0.91,91,0,0,0,0,1.66929,-1.66879,0,0,0,0,0,0,0,0
0.92,92,0,0,0,0,1.66934,-1.66885,0,0,0,0,0,0,0,0
0.93,93,0,0,0,0,1.66936,-1.66889,0,0,0,0,0,0,0,0
0.94,94,0,0,0,0,1.66937,-1.66891,0,0,0,0,0,0,0,0
0.95,95,0,0,0,0,1.66935,-1.6689,0,0,0,0,0,0,0,0
0.96,96,0,0,0,0,1.66931,-1.66887,0,0,0,0,0,0,0,0
0.97,97,0,0,0,0,1.66925,-1.66882,0,0,0,0,0,0,0,0
0.98,98,0,0,0,0,1.66917,-1.66875,0,0,0,0,0,0,0,0
0.99,99,0,0,0,0,1.66908,-1.66867,0,0,0,0,0,0,0,0
1,100,0,0,0,0,1.66897,-1.66857,0,0,0,0,0,0,0,0
1.01,101,0,0,0,0,1.66885,-1.66846,0,0,0,0,0,0,0,0
1.02,102,0,0,0,0,1.66871,-1.66833,0,0,0,0,0,0,0,0
1.03,103,0,0,0,0,1.66857,-1.66819,0,0,0,0,0,0,0,0
1.04,104,0,0,0,0,1.66841,-1.66804,0,0,0,0,0,0,0,0
1.05,105,0,0,0,0,1.66823,-1.66787,0,0,0,0,0,0,0,0
1.06,106,0,0,0,0,1.66805,-1.6677,0,0,0,0,0,0,0,0
1.07,107,0,0,0,0,1.66786,-1.66751,0,0,0,0,0,0,0,0
1.08,108,0,0,0,0,1.66766,-1.66732,0,0,0,0,0,0,0,0
1.09,109,0,0,0,0,1.66745,-1.66712,0,0,0,0,0,0,0,0
1.1,110,0,0,0,0,1.66723,-1.66691,0,0,0,0,0,0,0,0
1.11,111,0,0,0,0,1.66701,-1.66669,0,0,0,0,0,0,0,0
1.12,112,0,0,0,0,1.66678,-1.66647,0,0,0,0,0,0,0,0
1.13,113,0,0,0,0,1.66654,-1.66624,0,0,0,0,0,0,0,0
1.14,114,0,0,0,0,1.6663,-1.66601,0,0,0,0,0,0,0,0
1.15,115,0,0,0,0,1.66605,-1.66576,0,0,0,0,0,0,0,0
1.16,116,0,0,0,0,1.66579,-1.66552,0,0,0,0,0,0,0,0
1.17,117,0,0,0,0,1.66553,-1.66527,0,0,0,0,0,0,0,0
1.18,118,0,0,0,0,1.66527,-1.66501,0,0,0,0,0,0,0,0
1.19,119,0,0,0,0,1.665,-1.66476,0,0,0,0,0,0,0,0
1.2,120,0,0,0,0,1.66473,-1.66449,0,0,0,0,0,0,0,0
1.21,121,0,0,0,0,1.66446,-1.66423,0,0,0,0,0,0,0,0
1.22,122,0,0,0,0,1.66418,-1.66396,0,0,0,0,0,0,0,0
1.23,123,0,0,0,0,1.6639,-1.66369,0,0,0,0,0,0,0,0
1.24,124,0,0,0,0,1.66362,-1.66341,0,0,0,0,0,0,0,0
1.25,125,0,0,0,0,1.66333,-1.66314,0,0,0,0,0,0,0,0
1.26,126,0,0,0,0,1.66304,-1.66286,0,0,0,0,0,0,0,0
1.27,127,0,0,0,0,1.66275,-1.66258,0,0,0,0,0,0,0,0
1.28,128,0,0,0,0,1.66246,-1.6623,0,0,0,0,0,0,0,0
1.29,129,0,0,0,0,1.66217,-1.66201,0,0,0,0,0,0,0,0
1.3,130,0,0,0,0,1.66187,-1.66173,0,0,0,0,0,0,0,0
1.31,131,0,0,0,0,1.66157,-1.66144,0,0,0,0,0,0,0,0
1.32,132,0,0,0,0,1.66128,-1.66115,0,0,0,0,0,0,0,0
1.33,133,0,0,0,0,1.66098,-1.66086,0,0,0,0,0,0,0,0
1.34,134,0,0,0,0,1.66068,-1.66058,0,0,0,0,0,0,0,0
1.35,135,0,0,0,0,1.66038,-1.66029,0,0,0,0,0,0,0,0
1.36,136,0,0,0,0,1.66007,-1.65999,0,0,0,0,0,0,0,0
1.37,137,0,0,0,0,1.65977,-1.6597,0,0,0,0,0,0,0,0
1.38,138,0,0,0,0,1.65947,-1.65941,0,0,0,0,0,0,0,0
1.39,139,0,0,0,0,1.65917,-1.65912,0,0,0,0,0,0,0,0
1.4,140,0,0,0,0,1.65886,-1.65883,0,0,0,0,0,0,0,0
1.41,141,0,0,0,0,1.65856,-1.65853,0,0,0,0,0,0,0,0
